Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed\
Goran Dragic\\dragigo01,MIA,19217900,,,,,,Bird Rights,$19217900\
Gordon Hayward\\haywago01,BOS,32700690,34187085,,,,,Cap space,$32700690\
Gorgui Dieng\\dienggo01,MEM,16229213,17287640,,,,,1st Round Pick,$33516853\
Grant Williams\\willigr01,BOS,2379840,2498760,2617800,4306281,,,1st Round Pick,$4878600\
Grayson Allen\\allengr01,MEM,2429400,2545320,4054695,,,,1st Round Pick,$4974720\
Guerschon Yabusele\\yabusgu01,BOS,3117240,,,,,,,$3117240\
Hamidou Diallo\\diallha01,OKC,1416852,1663861,,,,,MLE,$1416852\
Harrison Barnes\\barneha02,SAC,24147727,22215909,20284091,18352273,,,Bird Rights,$85000000\
Harry Giles\\gilesha01,SAC,2578800,,,,,,1st Round Pick,$2578800\
Hassan Whiteside\\whiteha01,POR,27093018,,,,,,Cap Space,$27093018\
Hollis Thompson\\thompho01,SAC,50000,,,,,,,$50000\
Ian Mahinmi\\mahinia01,WAS,15450051,,,,,,Cap Space,$15450051\
Ignas Brazdeikis\\brazdig01,NYK,898310,1517981,1782621,,,,Minimum Salary,$2416291\
Iman Shumpert\\shumpim01,BRK,419443,,,,,,,$419443\
Isaac Bonga\\bongais01,WAS,1416852,1663861,,,,,Cap Space,$1416852\
Isaiah Hartenstein\\harteis01,HOU,1416852,,,,,,,$1416852\
Isaiah Roby\\robyis01,OKC,1500000,1517981,1782621,1930681,,,MLE,$3017981\
Isaiah Taylor\\taylois01,TOR,50000,,,,,,,$50000\
Isaiah Thomas\\thomais02,LAC,2320044,,,,,,,$2320044\
Ish Smith\\smithis01,WAS,5853659,6146341,,,,,MLE,$12000000\
Ivan Rabb\\rabbiv01,MEM,371758,,,,,,,$371758\
Ivica Zubac\\zubaciv01,LAC,6481482,7000000,7518518,7518518,,,Bird Rights,$21000000\
J.J. Barea\\bareajo01,DAL,2564753,,,,,,Minimum Salary,$2564753\
J.J. Redick\\redicjj01,NOP,13486300,13013700,,,,,Cap Space,$26500000\
J.P. Macura\\macurjp01,CLE,81678,,,,,,,$81678\
